unique_id,id,name,child_of_artifact,basis_name_id,component_basis,system,subfunction_type,function_id,subfunction_basis,sys_id,sys_name,sys_type,sys_type_name,mat_id,material_name,input_flow,input_flow_basis,child_of_flow_input,input_artifact,output_flow,output_flow_basis,child_of_flow_output,output_artifact,subfunction_tier,func_parent_heir_id,parent_teir,parent_subfunction,func_grandparent_heir_id,grandparent_teir,grand_parent_subfunction
1,789,booster-a,,1,unclassified,21,,,,21,brake system,0,all,,,,,,,,,,,,,,,,,
2,790,cap,,95,cap,21,,,,21,brake system,0,all,,,,,,,,,,,,,,,,,
3,791,booster-b,,1,unclassified,21,,,,21,brake system,0,all,,,,,,,,,,,,,,,,,
4,792,booster-c,,1,unclassified,21,,,,21,brake system,0,all,,,,,,,,,,,,,,,,,
5,793,master cylinder-a,,111,hydraulic pump,21,8,1591,import,21,brake system,0,all,2,aluminum,4,liquid,1,824,4,liquid,1,825,2,7,1,channel,,,
6,793,master cylinder-a,,111,hydraulic pump,21,8,1592,import,21,brake system,0,all,2,aluminum,4,liquid,1,813,4,liquid,1,825,2,7,1,channel,,,
7,795,master cylinder-b,,111,hydraulic pump,21,8,1595,import,21,brake system,0,all,2,aluminum,4,liquid,1,813,4,liquid,1,825,2,7,1,channel,,,
8,796,external,,178,external,21,,,,21,brake system,0,all,,,,,,,,,,,,,,,,,
9,797,master cylinder-c,,111,hydraulic pump,21,8,1596,import,21,brake system,0,all,2,aluminum,4,liquid,1,824,4,liquid,1,825,2,7,1,channel,,,
10,797,master cylinder-c,,111,hydraulic pump,21,8,1597,import,21,brake system,0,all,2,aluminum,4,liquid,1,813,4,liquid,1,825,2,7,1,channel,,,
11,799,drum-a,,129,container,21,8,1599,import,21,brake system,0,all,10,iron,5,solid,1,805,5,solid,1,823,2,7,1,channel,,,
12,799,drum-a,,129,container,21,8,1600,import,21,brake system,0,all,10,iron,40,mechanical,29,805,40,mechanical,29,823,2,7,1,channel,,,
13,800,drum-b,,129,container,21,8,1601,import,21,brake system,0,all,10,iron,5,solid,1,805,5,solid,1,823,2,7,1,channel,,,
14,800,drum-b,,129,container,21,8,1602,import,21,brake system,0,all,10,iron,40,mechanical,29,805,40,mechanical,29,823,2,7,1,channel,,,
15,801,drum-c,,129,container,21,8,1603,import,21,brake system,0,all,10,iron,5,solid,1,805,5,solid,1,823,2,7,1,channel,,,
16,801,drum-c,,129,container,21,8,1604,import,21,brake system,0,all,10,iron,40,mechanical,29,805,40,mechanical,29,823,2,7,1,channel,,,
17,802,caliper-a,,72,clamp,21,8,1608,import,21,brake system,0,all,2,aluminum,5,solid,1,807,5,solid,1,814,2,7,1,channel,,,
18,802,caliper-a,,72,clamp,21,9,1605,export,21,brake system,0,all,2,aluminum,4,liquid,1,813,4,liquid,1,813,2,7,1,channel,,,
19,802,caliper-a,,72,clamp,21,24,1606,regulate,21,brake system,0,all,2,aluminum,38,hydraulic,29,811,38,hydraulic,29,814,2,22,1,control magnitude,,,
20,802,caliper-a,,72,clamp,21,24,1607,regulate,21,brake system,0,all,2,aluminum,4,liquid,1,811,4,liquid,1,814,2,22,1,control magnitude,,,
21,803,caliper-b,,72,clamp,21,9,1610,export,21,brake system,0,all,2,aluminum,4,liquid,1,813,4,liquid,1,813,2,7,1,channel,,,
22,803,caliper-b,,72,clamp,21,24,1611,regulate,21,brake system,0,all,2,aluminum,38,hydraulic,29,811,38,hydraulic,29,814,2,22,1,control magnitude,,,
23,803,caliper-b,,72,clamp,21,24,1612,regulate,21,brake system,0,all,2,aluminum,4,liquid,1,811,4,liquid,1,814,2,22,1,control magnitude,,,
24,804,caliper-c,,72,clamp,21,8,1613,import,21,brake system,0,all,2,aluminum,5,solid,1,807,5,solid,1,814,2,7,1,channel,,,
25,804,caliper-c,,72,clamp,21,9,1614,export,21,brake system,0,all,2,aluminum,4,liquid,1,813,4,liquid,1,813,2,7,1,channel,,,
26,804,caliper-c,,72,clamp,21,24,1615,regulate,21,brake system,0,all,2,aluminum,38,hydraulic,29,811,38,hydraulic,29,814,2,22,1,control magnitude,,,
27,805,wheel,,120,wheel,21,,,,21,brake system,0,all,,,,,,,,,,,,,,,,,
28,806,pedal-a,,89,lever,21,13,1617,guide,21,brake system,0,all,2,aluminum,30,human energy,29,808,30,human energy,29,830,2,7,1,channel,,,
29,806,pedal-a,,89,lever,21,13,1618,guide,21,brake system,0,all,2,aluminum,26,control,19,808,30,human energy,29,830,2,7,1,channel,,,
30,806,pedal-a,,89,lever,21,35,1619,convert,21,brake system,0,all,2,aluminum,30,human energy,29,808,40,mechanical,29,810,1,,,,,,
31,807,upright,,1,unclassified,21,,,,21,brake system,0,all,,,,,,,,,,,,,,,,,
32,808,pedal face,,1,unclassified,21,,,,21,brake system,0,all,,,,,,,,,,,,,,,,,
33,809,pedal-b,,89,lever,21,13,1620,guide,21,brake system,0,all,2,aluminum,30,human energy,29,808,30,human energy,29,830,2,7,1,channel,,,
34,809,pedal-b,,89,lever,21,13,1621,guide,21,brake system,0,all,2,aluminum,26,control,19,808,30,human energy,29,830,2,7,1,channel,,,
35,809,pedal-b,,89,lever,21,35,1622,convert,21,brake system,0,all,2,aluminum,30,human energy,29,808,40,mechanical,29,810,1,,,,,,
36,810,stem,,1,unclassified,21,,,,21,brake system,0,all,,,,,,,,,,,,,,,,,
37,812,fin,,121,airfoil,21,6,1625,distribute,21,brake system,0,all,10,iron,45,thermal,29,814,45,thermal,29,796,2,1,1,branch,,,
38,812,fin,,121,airfoil,21,6,1626,distribute,21,brake system,0,all,10,iron,45,thermal,29,823,45,thermal,29,796,2,1,1,branch,,,
39,812,fin,,121,airfoil,21,9,1628,export,21,brake system,0,all,10,iron,45,thermal,29,823,45,thermal,29,796,2,7,1,channel,,,
40,813,brake line,,67,tube,21,,,,21,brake system,0,all,,,,,,,,,,,,,,,,,
41,814,pad,,101,cushion,21,,,,21,brake system,0,all,,,,,,,,,,,,,,,,,
42,815,brake cylinder-a,,111,hydraulic pump,21,9,1629,export,21,brake system,0,all,10,iron,4,liquid,1,813,4,liquid,1,813,2,7,1,channel,,,
43,817,brake cylinder-c,,111,hydraulic pump,21,9,1631,export,21,brake system,0,all,10,iron,4,liquid,1,813,4,liquid,1,813,2,7,1,channel,,,
44,820,piston-a,,116,hydraulic piston,21,,,,21,brake system,0,all,,,,,,,,,,,,,,,,,
45,821,piston-b,,116,hydraulic piston,21,,,,21,brake system,0,all,,,,,,,,,,,,,,,,,
46,822,piston-c,,116,hydraulic piston,21,,,,21,brake system,0,all,,,,,,,,,,,,,,,,,
47,823,shoe,,102,friction enhancer,21,,,,21,brake system,0,all,,,,,,,,,,,,,,,,,
48,824,reservoir,,128,reservoir,21,,,,21,brake system,0,all,,,,,,,,,,,,,,,,,
49,825,brake line manifold,,11,distributor,21,,,,21,brake system,0,all,,,,,,,,,,,,,,,,,
50,826,rotor-a,,120,wheel,21,8,1635,import,21,brake system,0,all,10,iron,5,solid,1,805,5,solid,1,814,2,7,1,channel,,,
51,826,rotor-a,,120,wheel,21,8,1636,import,21,brake system,0,all,10,iron,40,mechanical,29,805,40,mechanical,29,814,2,7,1,channel,,,
52,827,rotor-b,,120,wheel,21,8,1637,import,21,brake system,0,all,10,iron,5,solid,1,805,5,solid,1,814,2,7,1,channel,,,
53,827,rotor-b,,120,wheel,21,8,1638,import,21,brake system,0,all,10,iron,40,mechanical,29,805,40,mechanical,29,814,2,7,1,channel,,,
54,828,fastener,,73,fastener,21,,,,21,brake system,0,all,,,,,,,,,,,,,,,,,
55,829,rotor-c,,120,wheel,21,8,1639,import,21,brake system,0,all,10,iron,5,solid,1,805,5,solid,1,814,2,7,1,channel,,,
56,829,rotor-c,,120,wheel,21,8,1640,import,21,brake system,0,all,10,iron,40,mechanical,29,805,40,mechanical,29,814,2,7,1,channel,,,
57,830,internal,,177,internal,21,,,,21,brake system,0,all,,,,,,,,,,,,,,,,,
58,4693,battery tray,4710,50,housing,89,10,8310,transfer,89,digger dog,1,consumer,11,metal,34,electrical,29,4736,34,electrical,29,4704,2,7,1,channel,,,
59,4693,battery tray,4710,50,housing,89,10,8310,transfer,89,digger dog,1,consumer,15,plastic,34,electrical,29,4736,34,electrical,29,4704,2,7,1,channel,,,
60,4693,battery tray,4710,50,housing,89,52,8311,secure,89,digger dog,1,consumer,11,metal,5,solid,1,4736,5,solid,1,4737,2,50,1,support,,,
61,4693,battery tray,4710,50,housing,89,52,8311,secure,89,digger dog,1,consumer,15,plastic,5,solid,1,4736,5,solid,1,4737,2,50,1,support,,,
62,4693,battery tray,4710,50,housing,89,53,8312,position,89,digger dog,1,consumer,11,metal,5,solid,1,4721,5,solid,1,4721,2,50,1,support,,,
63,4693,battery tray,4710,50,housing,89,53,8312,position,89,digger dog,1,consumer,15,plastic,5,solid,1,4721,5,solid,1,4721,2,50,1,support,,,
64,4693,battery tray,4710,50,housing,89,53,8313,position,89,digger dog,1,consumer,11,metal,5,solid,1,4707,5,solid,1,4707,2,50,1,support,,,
65,4693,battery tray,4710,50,housing,89,53,8313,position,89,digger dog,1,consumer,15,plastic,5,solid,1,4707,5,solid,1,4707,2,50,1,support,,,
66,4693,battery tray,4710,50,housing,89,53,8314,position,89,digger dog,1,consumer,11,metal,5,solid,1,4731,5,solid,1,4731,2,50,1,support,,,
67,4693,battery tray,4710,50,housing,89,53,8314,position,89,digger dog,1,consumer,15,plastic,5,solid,1,4731,5,solid,1,4731,2,50,1,support,,,
68,4694,large pulley,4709,166,pulley,89,10,8315,transfer,89,digger dog,1,consumer,15,plastic,40,mechanical,29,4715,40,mechanical,29,4702,2,7,1,channel,,,
69,4694,large pulley,4709,166,pulley,89,52,8316,secure,89,digger dog,1,consumer,15,plastic,5,solid,1,4702,5,solid,1,4702,2,50,1,support,,,
70,4695,thigh bone,4733,89,lever,89,10,8317,transfer,89,digger dog,1,consumer,15,plastic,40,mechanical,29,4714,40,mechanical,29,4719,2,7,1,channel,,,
71,4695,thigh bone,4733,89,lever,89,13,8318,guide,89,digger dog,1,consumer,15,plastic,5,solid,1,4713,5,solid,1,4713,2,7,1,channel,,,
72,4695,thigh bone,4733,89,lever,89,53,8319,position,89,digger dog,1,consumer,15,plastic,5,solid,1,4719,5,solid,1,4719,2,50,1,support,,,
73,4696,peizo speaker,4720,108,speaker,89,9,8321,export,89,digger dog,1,consumer,11,metal,34,electrical,29,4704,20,status,19,4703,2,7,1,channel,,,
74,4696,peizo speaker,4720,108,speaker,89,35,8320,convert,89,digger dog,1,consumer,11,metal,34,electrical,29,4704,31,acoustic,29,4703,1,,,,,,
75,4697,battery tray cover,4710,50,housing,89,52,8323,secure,89,digger dog,1,consumer,15,plastic,5,solid,1,4693,5,solid,1,4693,2,50,1,support,,,
76,4697,battery tray cover,4710,50,housing,89,53,8322,position,89,digger dog,1,consumer,15,plastic,5,solid,1,4736,5,solid,1,4737,2,50,1,support,,,
77,4698,sensor,4720,76,electric switch,89,8,8324,import,89,digger dog,1,consumer,15,plastic,26,control,19,4703,26,control,19,4704,2,7,1,channel,,,
78,4699,digger dog,4699,179,system,89,,,,89,digger dog,1,consumer,,,,,,,,,,,,,,,,,
79,4700,medium pulley,4709,166,pulley,89,10,8325,transfer,89,digger dog,1,consumer,15,plastic,40,mechanical,29,4702,40,mechanical,29,4715,2,7,1,channel,,,
80,4701,dog skin,4699,96,cover,89,,,,89,digger dog,1,consumer,,,,,,,,,,,,,,,,,
81,4702,gearbox,4709,165,gear,89,13,8332,guide,89,digger dog,1,consumer,11,metal,5,solid,1,4695,5,solid,1,4695,2,7,1,channel,,,
82,4702,gearbox,4709,165,gear,89,13,8332,guide,89,digger dog,1,consumer,15,plastic,5,solid,1,4695,5,solid,1,4695,2,7,1,channel,,,
83,4702,gearbox,4709,165,gear,89,27,8326,change,89,digger dog,1,consumer,11,metal,40,mechanical,29,4694,40,mechanical,29,4714,2,22,1,control magnitude,,,
84,4702,gearbox,4709,165,gear,89,27,8326,change,89,digger dog,1,consumer,15,plastic,40,mechanical,29,4694,40,mechanical,29,4714,2,22,1,control magnitude,,,
85,4702,gearbox,4709,165,gear,89,27,8327,change,89,digger dog,1,consumer,11,metal,40,mechanical,29,4694,40,mechanical,29,4708,2,22,1,control magnitude,,,
86,4702,gearbox,4709,165,gear,89,27,8327,change,89,digger dog,1,consumer,15,plastic,40,mechanical,29,4694,40,mechanical,29,4708,2,22,1,control magnitude,,,
87,4702,gearbox,4709,165,gear,89,27,8328,change,89,digger dog,1,consumer,11,metal,40,mechanical,29,4694,40,mechanical,29,4730,2,22,1,control magnitude,,,
88,4702,gearbox,4709,165,gear,89,27,8328,change,89,digger dog,1,consumer,15,plastic,40,mechanical,29,4694,40,mechanical,29,4730,2,22,1,control magnitude,,,
89,4702,gearbox,4709,165,gear,89,52,8329,secure,89,digger dog,1,consumer,11,metal,5,solid,1,4694,5,solid,1,4737,2,50,1,support,,,
90,4702,gearbox,4709,165,gear,89,52,8329,secure,89,digger dog,1,consumer,15,plastic,5,solid,1,4694,5,solid,1,4737,2,50,1,support,,,
91,4702,gearbox,4709,165,gear,89,52,8330,secure,89,digger dog,1,consumer,11,metal,5,solid,1,4714,5,solid,1,4714,2,50,1,support,,,
92,4702,gearbox,4709,165,gear,89,52,8330,secure,89,digger dog,1,consumer,15,plastic,5,solid,1,4714,5,solid,1,4714,2,50,1,support,,,
93,4702,gearbox,4709,165,gear,89,52,8331,secure,89,digger dog,1,consumer,11,metal,5,solid,1,4730,5,solid,1,4730,2,50,1,support,,,
94,4702,gearbox,4709,165,gear,89,52,8331,secure,89,digger dog,1,consumer,15,plastic,5,solid,1,4730,5,solid,1,4730,2,50,1,support,,,
95,4702,gearbox,4709,165,gear,89,53,8333,position,89,digger dog,1,consumer,11,metal,5,solid,1,4717,5,solid,1,4717,2,50,1,support,,,
96,4702,gearbox,4709,165,gear,89,53,8333,position,89,digger dog,1,consumer,15,plastic,5,solid,1,4717,5,solid,1,4717,2,50,1,support,,,
97,4703,external,,178,external,89,,,,89,digger dog,1,consumer,,,,,,,,,,,,,,,,,
98,4704,wires,4720,154,electric wire,89,10,8334,transfer,89,digger dog,1,consumer,7,copper,34,electrical,29,4693,34,electrical,29,4722,2,7,1,channel,,,
99,4704,wires,4720,154,electric wire,89,10,8334,transfer,89,digger dog,1,consumer,15,plastic,34,electrical,29,4693,34,electrical,29,4722,2,7,1,channel,,,
100,4704,wires,4720,154,electric wire,89,10,8335,transfer,89,digger dog,1,consumer,7,copper,34,electrical,29,4721,34,electrical,29,4722,2,7,1,channel,,,
101,4704,wires,4720,154,electric wire,89,10,8335,transfer,89,digger dog,1,consumer,15,plastic,34,electrical,29,4721,34,electrical,29,4722,2,7,1,channel,,,
102,4704,wires,4720,154,electric wire,89,10,8336,transfer,89,digger dog,1,consumer,7,copper,34,electrical,29,4731,34,electrical,29,4722,2,7,1,channel,,,
103,4704,wires,4720,154,electric wire,89,10,8336,transfer,89,digger dog,1,consumer,15,plastic,34,electrical,29,4731,34,electrical,29,4722,2,7,1,channel,,,
104,4704,wires,4720,154,electric wire,89,10,8337,transfer,89,digger dog,1,consumer,7,copper,34,electrical,29,4722,34,electrical,29,4707,2,7,1,channel,,,
105,4704,wires,4720,154,electric wire,89,10,8337,transfer,89,digger dog,1,consumer,15,plastic,34,electrical,29,4722,34,electrical,29,4707,2,7,1,channel,,,
106,4704,wires,4720,154,electric wire,89,10,8338,transfer,89,digger dog,1,consumer,7,copper,34,electrical,29,4722,34,electrical,29,4696,2,7,1,channel,,,
107,4704,wires,4720,154,electric wire,89,10,8338,transfer,89,digger dog,1,consumer,15,plastic,34,electrical,29,4722,34,electrical,29,4696,2,7,1,channel,,,
108,4704,wires,4720,154,electric wire,89,10,8339,transfer,89,digger dog,1,consumer,7,copper,34,electrical,29,4722,34,electrical,29,4717,2,7,1,channel,,,
109,4704,wires,4720,154,electric wire,89,10,8339,transfer,89,digger dog,1,consumer,15,plastic,34,electrical,29,4722,34,electrical,29,4717,2,7,1,channel,,,
110,4704,wires,4720,154,electric wire,89,10,8340,transfer,89,digger dog,1,consumer,7,copper,26,control,19,4698,26,control,19,4722,2,7,1,channel,,,
111,4704,wires,4720,154,electric wire,89,10,8340,transfer,89,digger dog,1,consumer,15,plastic,26,control,19,4698,26,control,19,4722,2,7,1,channel,,,
112,4704,wires,4720,154,electric wire,89,10,8341,transfer,89,digger dog,1,consumer,7,copper,26,control,19,4721,26,control,19,4721,2,7,1,channel,,,
113,4704,wires,4720,154,electric wire,89,10,8341,transfer,89,digger dog,1,consumer,15,plastic,26,control,19,4721,26,control,19,4721,2,7,1,channel,,,
114,4704,wires,4720,154,electric wire,89,10,8342,transfer,89,digger dog,1,consumer,7,copper,26,control,19,4731,26,control,19,4722,2,7,1,channel,,,
115,4704,wires,4720,154,electric wire,89,10,8342,transfer,89,digger dog,1,consumer,15,plastic,26,control,19,4731,26,control,19,4722,2,7,1,channel,,,
116,4705,left dog half,4710,50,housing,89,,,,89,digger dog,1,consumer,,,,,,,,,,,,,,,,,
117,4706,small pulley,4709,166,pulley,89,10,8343,transfer,89,digger dog,1,consumer,15,plastic,40,mechanical,29,4717,40,mechanical,29,4715,2,7,1,channel,,,
118,4706,small pulley,4709,166,pulley,89,13,8344,guide,89,digger dog,1,consumer,15,plastic,5,solid,1,4715,5,solid,1,4715,2,7,1,channel,,,
119,4707,small speaker,4720,108,speaker,89,35,8345,convert,89,digger dog,1,consumer,11,metal,34,electrical,29,4704,31,acoustic,29,4703,1,,,,,,
120,4707,small speaker,4720,108,speaker,89,35,8345,convert,89,digger dog,1,consumer,14,paper,34,electrical,29,4704,31,acoustic,29,4703,1,,,,,,
121,4707,small speaker,4720,108,speaker,89,35,8346,convert,89,digger dog,1,consumer,11,metal,34,electrical,29,4704,20,status,19,4703,1,,,,,,
122,4707,small speaker,4720,108,speaker,89,35,8346,convert,89,digger dog,1,consumer,14,paper,34,electrical,29,4704,20,status,19,4703,1,,,,,,
123,4708,lever,4709,89,lever,89,10,8347,transfer,89,digger dog,1,consumer,15,plastic,40,mechanical,29,4702,40,mechanical,29,4729,2,7,1,channel,,,
124,4708,lever,4709,89,lever,89,18,8348,couple,89,digger dog,1,consumer,15,plastic,5,solid,1,4729,5,solid,1,4729,2,17,1,connect,,,
125,4709,mechanical workings,4699,175,assembly,89,,,,89,digger dog,1,consumer,,,,,,,,,,,,,,,,,
126,4710,dog body,4699,175,assembly,89,,,,89,digger dog,1,consumer,,,,,,,,,,,,,,,,,
127,4711,left tray mount,4710,147,support,89,,,,89,digger dog,1,consumer,,,,,,,,,,,,,,,,,
128,4712,try me button,4720,76,electric switch,89,35,8349,convert,89,digger dog,1,consumer,11,metal,30,human energy,29,4703,26,control,19,4721,1,,,,,,
129,4712,try me button,4720,76,electric switch,89,35,8349,convert,89,digger dog,1,consumer,15,plastic,30,human energy,29,4703,26,control,19,4721,1,,,,,,
130,4713,shin bone,4733,89,lever,89,10,8350,transfer,89,digger dog,1,consumer,15,plastic,40,mechanical,29,4719,40,mechanical,29,4732,2,7,1,channel,,,
131,4713,shin bone,4733,89,lever,89,23,8351,actuate,89,digger dog,1,consumer,15,plastic,40,mechanical,29,4719,40,mechanical,29,4727,2,22,1,control magnitude,,,
132,4713,shin bone,4733,89,lever,89,53,8352,position,89,digger dog,1,consumer,15,plastic,5,solid,1,4719,5,solid,1,4737,2,50,1,support,,,
133,4713,shin bone,4733,89,lever,89,53,8353,position,89,digger dog,1,consumer,15,plastic,5,solid,1,4727,5,solid,1,4727,2,50,1,support,,,
134,4713,shin bone,4733,89,lever,89,53,8354,position,89,digger dog,1,consumer,15,plastic,5,solid,1,4732,5,solid,1,4732,2,50,1,support,,,
135,4714,crank,4709,89,lever,89,10,8356,transfer,89,digger dog,1,consumer,15,plastic,40,mechanical,29,4702,40,mechanical,29,4695,2,7,1,channel,,,
136,4714,crank,4709,89,lever,89,13,8355,guide,89,digger dog,1,consumer,15,plastic,5,solid,1,4695,5,solid,1,4695,2,7,1,channel,,,
137,4715,belt,4709,58,belt,89,10,8357,transfer,89,digger dog,1,consumer,16,rubber,40,mechanical,29,4706,40,mechanical,29,4694,2,7,1,channel,,,
138,4715,belt,4709,58,belt,89,10,8358,transfer,89,digger dog,1,consumer,16,rubber,40,mechanical,29,4700,40,mechanical,29,4694,2,7,1,channel,,,
139,4715,belt,4709,58,belt,89,13,8359,guide,89,digger dog,1,consumer,16,rubber,5,solid,1,4694,5,solid,1,4694,2,7,1,channel,,,
140,4716,solder,4720,154,electric wire,89,10,8360,transfer,89,digger dog,1,consumer,11,metal,34,electrical,29,4704,34,electrical,29,4722,2,7,1,channel,,,
141,4716,solder,4720,154,electric wire,89,10,8361,transfer,89,digger dog,1,consumer,11,metal,34,electrical,29,4704,34,electrical,29,4717,2,7,1,channel,,,
142,4716,solder,4720,154,electric wire,89,10,8362,transfer,89,digger dog,1,consumer,11,metal,34,electrical,29,4704,34,electrical,29,4707,2,7,1,channel,,,
143,4716,solder,4720,154,electric wire,89,10,8363,transfer,89,digger dog,1,consumer,11,metal,34,electrical,29,4704,34,electrical,29,4696,2,7,1,channel,,,
144,4716,solder,4720,154,electric wire,89,10,8364,transfer,89,digger dog,1,consumer,11,metal,26,control,19,4698,26,control,19,4704,2,7,1,channel,,,
145,4716,solder,4720,154,electric wire,89,10,8365,transfer,89,digger dog,1,consumer,11,metal,26,control,19,4731,26,control,19,4704,2,7,1,channel,,,
146,4716,solder,4720,154,electric wire,89,10,8366,transfer,89,digger dog,1,consumer,11,metal,26,control,19,4721,26,control,19,4704,2,7,1,channel,,,
147,4716,solder,4720,154,electric wire,89,10,8375,transfer,89,digger dog,1,consumer,11,metal,34,electrical,29,4693,34,electrical,29,4722,2,7,1,channel,,,
148,4716,solder,4720,154,electric wire,89,18,8367,couple,89,digger dog,1,consumer,11,metal,5,solid,1,4704,5,solid,1,4704,2,17,1,connect,,,
149,4716,solder,4720,154,electric wire,89,18,8368,couple,89,digger dog,1,consumer,11,metal,5,solid,1,4717,5,solid,1,4717,2,17,1,connect,,,
150,4716,solder,4720,154,electric wire,89,18,8369,couple,89,digger dog,1,consumer,11,metal,5,solid,1,4721,5,solid,1,4721,2,17,1,connect,,,
151,4716,solder,4720,154,electric wire,89,18,8370,couple,89,digger dog,1,consumer,11,metal,5,solid,1,4731,5,solid,1,4731,2,17,1,connect,,,
152,4716,solder,4720,154,electric wire,89,18,8371,couple,89,digger dog,1,consumer,11,metal,5,solid,1,4698,5,solid,1,4698,2,17,1,connect,,,
153,4716,solder,4720,154,electric wire,89,18,8372,couple,89,digger dog,1,consumer,11,metal,5,solid,1,4722,5,solid,1,4722,2,17,1,connect,,,
154,4716,solder,4720,154,electric wire,89,18,8373,couple,89,digger dog,1,consumer,11,metal,5,solid,1,4696,5,solid,1,4696,2,17,1,connect,,,
155,4716,solder,4720,154,electric wire,89,18,8374,couple,89,digger dog,1,consumer,11,metal,5,solid,1,4693,5,solid,1,4693,2,17,1,connect,,,
156,4717,motor,4720,115,electric motor,89,35,8376,convert,89,digger dog,1,consumer,11,metal,34,electrical,29,4704,40,mechanical,29,4706,1,,,,,,
157,4717,motor,4720,115,electric motor,89,35,8376,convert,89,digger dog,1,consumer,15,plastic,34,electrical,29,4704,40,mechanical,29,4706,1,,,,,,
158,4717,motor,4720,115,electric motor,89,35,8377,convert,89,digger dog,1,consumer,11,metal,34,electrical,29,4704,40,mechanical,29,4700,1,,,,,,
159,4717,motor,4720,115,electric motor,89,35,8377,convert,89,digger dog,1,consumer,15,plastic,34,electrical,29,4704,40,mechanical,29,4700,1,,,,,,
160,4717,motor,4720,115,electric motor,89,52,8378,secure,89,digger dog,1,consumer,11,metal,5,solid,1,4706,5,solid,1,4706,2,50,1,support,,,
161,4717,motor,4720,115,electric motor,89,52,8378,secure,89,digger dog,1,consumer,15,plastic,5,solid,1,4706,5,solid,1,4706,2,50,1,support,,,
162,4717,motor,4720,115,electric motor,89,52,8379,secure,89,digger dog,1,consumer,11,metal,5,solid,1,4700,5,solid,1,4700,2,50,1,support,,,
163,4717,motor,4720,115,electric motor,89,52,8379,secure,89,digger dog,1,consumer,15,plastic,5,solid,1,4700,5,solid,1,4700,2,50,1,support,,,
164,4718,right tray mount,4710,147,support,89,53,8380,position,89,digger dog,1,consumer,15,plastic,5,solid,1,4693,5,solid,1,4693,2,50,1,support,,,
165,4719,spring,4733,135,spring,89,10,8381,transfer,89,digger dog,1,consumer,11,metal,40,mechanical,29,4695,40,mechanical,29,4713,2,7,1,channel,,,
166,4720,circuitry,4699,175,assembly,89,,,,89,digger dog,1,consumer,,,,,,,,,,,,,,,,,
167,4721,input jack,4720,55,electric socket,89,10,8382,transfer,89,digger dog,1,consumer,11,metal,26,control,19,4712,26,control,19,4704,2,7,1,channel,,,
168,4721,input jack,4720,55,electric socket,89,10,8382,transfer,89,digger dog,1,consumer,15,plastic,26,control,19,4712,26,control,19,4704,2,7,1,channel,,,
169,4721,input jack,4720,55,electric socket,89,52,8383,secure,89,digger dog,1,consumer,11,metal,5,solid,1,4712,5,solid,1,4737,2,50,1,support,,,
170,4721,input jack,4720,55,electric socket,89,52,8383,secure,89,digger dog,1,consumer,15,plastic,5,solid,1,4712,5,solid,1,4737,2,50,1,support,,,
171,4722,circuit board,4720,145,circuit board,89,6,8384,distribute,89,digger dog,1,consumer,5,composite,34,electrical,29,4704,34,electrical,29,4704,2,1,1,branch,,,
172,4722,circuit board,4720,145,circuit board,89,6,8384,distribute,89,digger dog,1,consumer,11,metal,34,electrical,29,4704,34,electrical,29,4704,2,1,1,branch,,,
173,4722,circuit board,4720,145,circuit board,89,6,8384,distribute,89,digger dog,1,consumer,16,rubber,34,electrical,29,4704,34,electrical,29,4704,2,1,1,branch,,,
174,4723,small body part,4710,50,housing,89,53,8385,position,89,digger dog,1,consumer,15,plastic,5,solid,1,4698,5,solid,1,4698,2,50,1,support,,,
175,4724,retaining ring,4720,160,nut-bolt,89,18,8386,couple,89,digger dog,1,consumer,11,metal,5,solid,1,4721,5,solid,1,4721,2,17,1,connect,,,
176,4724,retaining ring,4720,160,nut-bolt,89,18,8387,couple,89,digger dog,1,consumer,11,metal,5,solid,1,4693,5,solid,1,4693,2,17,1,connect,,,
177,4725,right dog half,4710,50,housing,89,,,,89,digger dog,1,consumer,,,,,,,,,,,,,,,,,
178,4726,bolt,4709,160,nut-bolt,89,13,8388,guide,89,digger dog,1,consumer,11,metal,5,solid,1,4695,5,solid,1,4695,2,7,1,channel,,,
179,4726,bolt,4709,160,nut-bolt,89,13,8389,guide,89,digger dog,1,consumer,11,metal,5,solid,1,4713,5,solid,1,4713,2,7,1,channel,,,
180,4727,right leg half,4733,50,housing,89,9,8390,export,89,digger dog,1,consumer,15,plastic,40,mechanical,29,4713,40,mechanical,29,4703,2,7,1,channel,,,
181,4728,left dog leg half,4710,50,housing,89,,,,89,digger dog,1,consumer,,,,,,,,,,,,,,,,,
182,4729,plastic wire,4709,1,unclassified,89,10,8391,transfer,89,digger dog,1,consumer,15,plastic,40,mechanical,29,4708,40,mechanical,29,4730,2,7,1,channel,,,
183,4729,plastic wire,4709,1,unclassified,89,18,8392,couple,89,digger dog,1,consumer,15,plastic,5,solid,1,4708,5,solid,1,4737,2,17,1,connect,,,
184,4730,tail,4709,89,lever,89,9,8394,export,89,digger dog,1,consumer,15,plastic,40,mechanical,29,4729,40,mechanical,29,4703,2,7,1,channel,,,
185,4730,tail,4709,89,lever,89,13,8395,guide,89,digger dog,1,consumer,15,plastic,5,solid,1,4729,5,solid,1,4737,2,7,1,channel,,,
186,4730,tail,4709,89,lever,89,35,8393,convert,89,digger dog,1,consumer,15,plastic,40,mechanical,29,4729,20,status,19,4703,1,,,,,,
